이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
백용환,KIA,2021,C,-0.002,3.0,-0.02,1.0,-0.0,0.01,0.0,0.0,0.0
김선우,KIA,2022,C,-0.002,3.0,-0.02,1.0,0.0,0.0,0.0,-0.05,0.0
김석환,KIA,2018,1B,-0.003,4.0,-0.03,1.0,0.0,0.01,0.0,0.0,0.0
홍재호,KIA,2019,2B,-0.003,49.0,-0.03,0.962,-0.05,-0.08,0.0,0.0,0.0
오선우,KIA,2019,RF,-0.004,120.2,-0.04,1.0,-1.65,0.1,0.0,0.0,2.12
오선우,KIA,2021,LF,-0.005,33.1,-0.05,1.0,-0.15,0.02,0.0,0.0,0.26
임석진,KIA,2022,3B,-0.011,39.2,-0.11,1.0,-0.13,0.1,0.0,0.0,0.0
오정환,KIA,2021,2B,-0.013,31.0,-0.13,0.929,-0.07,-0.12,0.0,0.0,0.0
박민,KIA,2020,3B,-0.014,5.0,-0.15,0.75,0.03,-0.18,0.0,0.0,0.0
해즐베이커,KIA,2019,CF,-0.017,84.0,-0.16,0.963,-0.78,-0.15,0.0,0.0,0.7
황대인,KIA,2019,1B,-0.017,48.0,-0.16,1.0,0.12,0.09,0.0,0.0,0.0
김주형,KIA,2018,3B,-0.019,16.2,-0.21,0.875,-0.06,-0.16,0.0,0.0,0.0
고장혁,KIA,2020,3B,-0.021,30.0,-0.22,1.0,-0.37,0.09,0.0,0.0,0.0
이인행,KIA,2018,1B,-0.026,5.0,-0.29,1.0,-0.25,0.01,0.0,0.0,-0.0
최정용,KIA,2019,2B,-0.029,36.0,-0.28,0.95,-0.15,-0.12,0.0,0.0,0.0
이정훈,KIA,2021,C,-0.032,33.0,-0.32,0.929,-0.0,-0.35,-0.25,-0.0,0.0
오정환,KIA,2019,2B,-0.042,76.0,-0.4,0.971,-0.48,-0.01,0.0,0.0,0.0
최형우,KIA,2020,LF,-0.047,8.0,-0.51,1.0,-0.21,0.0,0.0,0.0,-0.27
최정민,KIA,2019,CF,-0.048,14.0,-0.45,1.0,-0.4,0.01,0.0,0.0,-0.06
김태진,KIA,2022,1B,-0.053,6.0,-0.51,0.5,-0.33,-0.18,0.0,0.0,0.0
이인행,KIA,2019,RF,-0.055,37.0,-0.53,1.0,-0.14,0.03,0.0,0.0,-0.24
류지혁,KIA,2022,3B,-0.06,950.2,-0.59,0.966,-0.65,0.06,0.0,0.0,0.0
